Currency,,Amount Owned,Price,Value,Percent of portfolio,Total Portfolio Value
BCP,0.26477112,,,,,
BCPT,0.02163776,,,,,
BCPX,0.00008978,,,,,
BCV,0.00395455,,,,,
BCX,0.00053931,,,,,
BCZ,0.03764623,,,,,
BCZERO,0.00251393,,,,,
BDCASH,0.08708986,,,,,
BDG,0.00103554,,,,,
BDP,0.00861111,,,,,
BDX,0.05369045,,,,,
BEAM,0.43874372,,,,,
BEARSHIT,71.8,,,,,
BECN,0.02684522,,,,,
BEER,0.00671965,,,,,
BEET,0.0035052,,,,,
BELA,0.00026935,,,,,
BELL,0.00224458,,,,,
BEN,0.00287307,,,,,
BENZ,0.00008604,,,,,
BEPRO,0.00085743,,,,,
BERRY,0.0003284,,,,,
BET,0.00736228,,,,,
BETN,0.00000002,,,,,
BETR,0.0009477,,,,,
BETXC,0.00143653,,,,,
BF,0.00219081,,,,,
BFT,0.00800031,,,,,
BGC,0.00125697,,,,,
BGG,0.00038966,,,,,
BGL,0.04040251,,,,,
BGT,0.01235504,,,,,
BHIG,0.03887619,,,,,
BHP,0.71956098,,,,,
BHT,0.13386699,,,,,
BHY,93.81,,,,,
BI,1.77571698,,,,,
BIA,0.00186371,,,,,
BID,3.67761611,,,,,
BIFI,0.0009537,,,,,
BIH,0.00017957,,,,,
BIM,0.00000221,,,,,
BIN,0.00062848,,,,,
BIR,0.00390891,,,,,
BIRD,0.00047284,,,,,
BIS,0.08041281,,,,,
BIT,0.0000772,,,,,
BITBAR,1.79692412,,,,,
BITBLOCKS,0.00179567,,,,,
BITC,0.01909496,,,,,
BITCOEN,0.0064644,,,,,
BITCURRENCY,0.0005273,,,,,
BITG,0.25757853,,,,,
BITHEREUM,0.00689149,,,,,
BITHOLD,0.00076998,,,,,
BITRUE,0.03375896,,,,,
BITTO,0.35934625,,,,,
BITTORRENT,0.00029323,,,,,
BIX,0.09038151,,,,,
BIXCPRO,0.00797222,,,,,
BIZZ,0.51338124,,,,,
BKBT,0.00062895,,,,,
BKG,0.00098762,,,,,
BLACK,0.0008093,,,,,
BLAST,0.00134675,,,,,
BLC,0.00044892,,,,,
BLK,0.03418836,,,,,
BLOAP,94.24,,,,,
BLOCK,1.26631932,,,,,
BLOCKBURN,0.00005074,,,,,
BLOCKCHAINCOM,0.00556657,,,,,
BLOCKSTACK,0.12147688,,,,,
BLOCKSTAMP,0.13467504,,,,,
BLOCMONEY,0.00547678,,,,,
BLOOD,0.0005326,,,,,
BLT,0.02617388,,,,,
BLUR,0.04489168,,,,,
BLVR,1.26859783,,,,,
BLZ,0.02619354,,,,,
BMAX,0.00000086,,,,,
BMH,0.00013916,,,,,
BMX,0.01369015,,,,,
BNANA,0.51173704,,,,,
BNB,15.11043851,,,,,
BNBBEAR,12.69,,,,,
BNBBULL,73.925,,,,,
BNK,0.00161984,,,,,
BNODE,0.04623843,,,,,
BNT,0.94737249,,,,,
BNY,0.00305263,,,,,
BOA,0.08722922,,,,,
BOCBP,114.3,,,,,
BOLDMANCAPITAL,0.00000919,,,,,
BOLENUM,0.0000009,,,,,
BOLI,0.010774,,,,,
BOLT,0.00209195,,,,,
BOLTT,0.00573627,,,,,
BOMB,0.79069463,,,,,
BON,0.00817029,,,,,
BONO,42.05270763,,,,,
BOO,0.00019967,,,,,
BOOMTOKEN,0.00176335,,,,,
BOS,0.0104418,,,,,
BOTX,0.05438393,,,,,
BOUTS,0.00130554,,,,,
BPAKC,0.00008384,,,,,
BPC,0.0006563,,,,,
BPER,0.00000044,,,,,
BPLC,0.00049016,,,,,
BPS,1.29772865,,,,,
BPX,0.00090908,,,,,
BQT,0.01060637,,,,,
BQTX,0.00652931,,,,,
BRAT,0.00000883,,,,,
BRAZ,0.00061196,,,,,
BRD,0.11064079,,,,,
BRO,0.00987617,,,,,
BRRR,145.39,,,,,
BRX,0.04668735,,,,,
BRYLLITE,0.00134675,,,,,
BRZX,0.06022563,,,,,
BSG,0.00008308,,,,,
BSH,0.00278328,,,,,
BSN,0.00008978,,,,,
BSOV,0.02714579,,,,,
BST,0.0024313,,,,,
BSTN,0.00000516,,,,,
BSTX,0.00058359,,,,,
BSV,164.9860716,,,,,
BSVBEAR,1.058,,,,,
BSVBULL,0.58225,,,,,
BSVG,0.00125697,,,,,
BTA,0.02109909,,,,,
BTAD,0.00027738,,,,,
BTBC,0.00022063,,,,,
BTBL,0.00068257,,,,,
BTC,8983.582117,,,,,
BTC2,0.76517227,,,,,
BTCB2,0.00000022,,,,,
BTCBEAR,1.885,,,,,
BTCBULL,2456,,,,,
BTCF,0.00017957,,,,,
BTCGENX,0.00026935,,,,,
BTCGW,0.00012796,,,,,
BTCHEDGE,1006.5,,,,,
BTCL,0.00251393,,,,,
BTCM,0.00044125,,,,,
BTCN,0.00188545,,,,,
BTCONE,0.00004489,,,,,
BTCPLUSPLUS,8625.901225,,,,,
BTCR,0.01985631,,,,,
BTCSHORT,7744,,,,,
BTCSILVER,0.94427804,,,,,
BTCT,0.00778663,,,,,
BTCUI,0.00011473,,,,,
BTCV,0.01804645,,,,,
BTCV2,277.5922586,,,,,
BTCZ,0.00007201,,,,,
BTD,0.00343514,,,,,
BTDX,0.00350155,,,,,
BTG,8.14362332,,,,,
BTL,0.00044125,,,,,
BTM,0.06422357,,,,,
BTMX,0.03582433,,,,,
BTMXBULL,10.61,,,,,
BTNT,0.00116718,,,,,
BTRL,1.70233282,,,,,
BTS,0.02387102,,,,,
BTSA,0.00233437,,,,,
BTSCOIN,0.00027833,,,,,
BTSE,1.57499231,,,,,
BTT,0.01214103,,,,,
BTTR,0.26854202,,,,,
BTU,0.41910871,,,,,
BTW,0.0010568,,,,,
BTX,0.17287002,,,,,
BU,0.00316872,,,,,
BUIDL,0.44508068,,,,,
BULL,2.79405809,,,,,
BULLSHIT,324.9,,,,,
BUNNY,0.00001324,,,,,
BURST,0.00404721,,,,,
BUSD,1.00233868,,,,,
BUSD3,3.30938785,,,,,
BUT,0.00139835,,,,,
BUX,0.71196456,,,,,
BUYCOINPOS,1.43204455,,,,,
BUZZ,0.00000898,,,,,
BVK,0.00260372,,,,,
BVOL,5390,,,,,
BVT,0.00023386,,,,,
BXK,0.11204963,,,,,
BXT,0.00326305,,,,,
BXY,0.00637462,,,,,
BYTS,0.32815817,,,,,
BZ,0.10854153,,,,,
BZE,0.00008978,,,,,
BZNT,0.01541335,,,,,
BZO,0.0086192,,,,,
BZT,1.66874322,,,,,
BZX,0.00134485,,,,,
C20,0.46350136,,,,,
C3W,0.00001986,,,,,
C4C,0.00000662,,,,,
CAG,0.06177576,,,,,
CAJ,1.15860709,,,,,
CALL,0.00015263,,,,,
CAM,0.01372737,,,,,
CAPP,0.0011776,,,,,
CARBON,0.00000432,,,,,
CARD,0.00155762,,,,,
CASH2,0.01427555,,,,,
CASHBERY,0.00727245,,,,,
CAT2,0.00017976,,,,,
CATCOIN,0.00179567,,,,,
CATO,0.00376672,,,,,
CATT,0.0001311,,,,,
CBC,0.00986113,,,,,
CBEX,0.0000499,,,,,
CBIX7,0.00903379,,,,,
CBOX,0.00363462,,,,,
CBT,0.00628484,,,,,
CBX,0.03151396,,,,,
CCCM,0.0002118,,,,,
CCH,0.00001662,,,,,
CCM,0.00008978,,,,,
CCO,0.00833266,,,,,
CCRB,0.00672719,,,,,
CCTC,0.00008978,,,,,
CDAI,0.02478598,,,,,
CDL,0.02845943,,,,,
CDT,0.00536228,,,,,
CDZC,0.02286439,,,,,
CEC,0.00000447,,,,,
CEL,0.35162234,,,,,
CELR,0.0034979,,,,,
CENNZ,0.07413135,,,,,
CENT,0.0005387,,,,,
CENTAURI,0.00071827,,,,,
CETH,4.41519901,,,,,
CFL,0.00008978,,,,,
CGEN,0.00000662,,,,,
CGMT,0.00000221,,,,,
CHA,0.02028206,,,,,
CHAI,1.02949157,,,,,
CHAN,0.00035913,,,,,
CHAT,0.00267875,,,,,
CHEESE,0.00013002,,,,,
CHFT,1.04911848,,,,,
CHG,0.16896532,,,,,
CHI,0.03332119,,,,,
CHND,0.0005387,,,,,
CHP,0.00471507,,,,,
CHR,0.02522072,,,,,
CHRT,0.00879877,,,,,
CHSB,0.10443125,,,,,
CHTC,0.00448917,,,,,
CHZ,0.01167163,,,,,
CICC,0.05943252,,,,,
CITY,0.02909343,,,,,
CLB,0.00228374,,,,,
CLC,0.00978639,,,,,
CLG,0.00014365,,,,,
CLO,0.00063458,,,,,
CLOAK,1.36389898,,,,,
CLOG,0.00014561,,,,,
CLT,0.89838789,,,,,
CMCN,0.00000221,,,,,
CMCT,0.00035825,,,,,
CMM,0.00125697,,,,,
CMT,0.01193329,,,,,
CMTR,0.00188545,,,,,
CNB,0.00044964,,,,,
CNC,0.00028019,,,,,
CNCT,0.00017957,,,,,
CND,0.00619545,,,,,
CNG,0.00001228,,,,,
CNN,0.00005963,,,,,
CNNS,0.00306486,,,,,
CNP,0.00000565,,,,,
CNRG,37.38015945,,,,,
CNUS,0.00050907,,,,,
CNYX,0.14254026,,,,,
CNZ,0.00000221,,,,,
COB,0.00026935,,,,,
COCOS,0.0003226,,,,,
CODEO,0.55073258,,,,,
COF,0.00107729,,,,,
COFI,0.00124249,,,,,
COINBTC,95.5,,,,,
COINCLAIM,0.00013674,,,,,
COLX,0.00026136,,,,,
COMMODITYADNETWORK,0.00152787,,,,,
COMMUNITY,0.0026935,,,,,
COMP,233.7912656,,,,,
COMP2,0.00007609,,,,,
CON,0.00360477,,,,,
CORN,0.00001495,,,,,
CORONA,0.00006172,,,,,
COS,0.00728765,,,,,
COSM,0.00864016,,,,,
COT,0.00004225,,,,,
COTI,0.02513875,,,,,
COV,0.20088549,,,,,
COVA,0.00042673,,,,,
COVAL,0.00017957,,,,,
COW,0.02393924,,,,,
CPAY,0.02755946,,,,,
CPC,0.00224444,,,,,
CPT,0.00014689,,,,,
CPU,0.00026935,,,,,
CPX,0.00297687,,,,,
CRAD,0.00526164,,,,,
CRCL,0.00008978,,,,,
CRCT,0.00008978,,,,,
CRE,0.00231723,,,,,
CREA,0.03328065,,,,,
CREX,3.92353272,,,,,
CRM,0.00036811,,,,,
CRN,0.00296285,,,,,
CRO,0.11063484,,,,,
CROAT,0.00116718,,,,,
CRP,0.00071827,,,,,
CRPT,0.30729762,,,,,
CRU,0.00274737,,,,,
CRUZ,0.02325389,,,,,
CRW,0.05986459,,,,,
CRYP,0.00024971,,,,,
CRYPL,2.86813202,,,,,
CRYPT,0.00224458,,,,,
CRYPTO,0.33776499,,,,,
CRYPTOBOSSCOIN,0.66187713,,,,,
CRYPTONODES,0.00098762,,,,,
